trial_type,workspace,trial_name,agent_name,model,milestone_id,milestone_order,grading_status
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M006,4,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M003.1,5,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M004,6,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M011,7,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M025,8,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M018,9,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M003.2,10,non_graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M001.1,11,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M003.3,12,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M001.2,13,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M003.1,1,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M004,2,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M003.2,3,non_graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M006,4,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M011,5,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M001.1,6,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M003.3,7,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M001.2,8,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M016.1,9,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M017,10,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M018,11,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M019,12,graded
e2e,dubbo,_claude-code_kimi-k3_run_002,claude-code,kimi-k3,M025,13,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M011,1,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M004,2,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M006,3,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M003.1,4,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M016.1,5,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M017,6,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M019,7,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M001.1,8,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M003.2,9,non_graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M001.2,10,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M003.3,11,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M018,12,graded
e2e,dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,M025,13,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M011,1,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M004,2,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M006,3,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M003.1,4,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M016.1,5,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M017,6,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M019,7,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M025,8,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M018,9,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M003.2,10,non_graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M001.1,11,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M003.3,12,graded
e2e,dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,M001.2,13,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M003.1,1,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M004,2,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M006,3,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M003.2,4,non_graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M011,5,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M016.1,6,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M017,7,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M019,8,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M003.3,9,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M018,10,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M025,11,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M001.1,12,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],M001.2,13,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M011,1,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M004,2,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M006,3,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M001.1,4,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M003.1,5,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M001.2,6,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M003.2,7,non_graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M016.1,8,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M017,9,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M019,10,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M003.3,11,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M018,12,graded
e2e,dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,M025,13,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M011,1,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M019,2,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M017,3,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M004,4,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M006,5,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M016.1,6,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M003.1,7,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M003.2,8,non_graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M001.1,9,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M003.3,10,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M018,11,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M025,12,graded
e2e,dubbo,_claude-code_opus-4.8_run_002,claude-code,claude-opus-4-8,M001.2,13,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M003.1,1,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M003.2,2,non_graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M003.3,3,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M019,4,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M006,5,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M017,6,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M011,7,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M004,8,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M016.1,9,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M018,10,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M025,11,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M001.1,12,graded
e2e,dubbo,_claude-code_qwen3.6-27b_run_002,claude-code,qwen3.6-27b,M001.2,13,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M003.1,1,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M004,2,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M006,3,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M011,4,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M016.1,5,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M017,6,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M019,7,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M001.1,8,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M003.2,9,non_graded
